,Response,Share of respondents*
0,Technology makes getting in touch with family members easier,80%
1,Communication technology enables constant dialogue wth family and friends,70%
2,Technology devices make one feel more connected,66%
3,Technology makes it easier to arrange meetings with family members,64%
4,Mobile technology enhances interactions with immediate family,61%
5,Internet encourages contact with family or friends,57%
6,Social networks are a great way to feel close to family and friends,55%
7,Technology has little impact on one's frequency of communication with friends or family,54%
8,Uncomfortable with finding out about life of family members via social network,47%
9,Social media helps understanding family members better,33%
10,Uncomfortable knowing family members can monitor one's activity on social media,33%
11,Technology has led to less face-to-face interactions among families,31%
12,Playing online games with family members helps connect with them,28%
13,Uncomfortable with family members being able to get in touch at any time,24%
