,Country,Electricity prices in U.S. dollars per kilowatt hour
0,Germany,0.38
1,Denmark,0.33
2,Portugal,0.31
3,Belgium,0.31
4,Japan,0.29
5,Cyprus,0.28
6,Ireland,0.28
7,Italy,0.26
8,United Kingdom,0.26
9,Rwanda,0.26
10,Australia,0.25
11,Spain,0.24
12,New Zealand,0.23
13,Kenya,0.21
14,France,0.21
15,Singapore,0.19
16,Poland,0.19
17,Brazil,0.15
18,United States,0.15
19,South Africa,0.13
20,Indonesia,0.1
21,Turkey,0.09
22,India,0.08
23,Mexico,0.08
24,China,0.08
25,Nigeria,0.07
26,Argentina,0.07
27,Russia,0.06
28,Saudi Arabia,0.05
29,Qatar,0.03
