,Year,Inflation rate compared to previous year
0,2025*,4.24%
1,2024*,4.24%
2,2023*,4.14%
3,2022*,3.89%
4,2021*,3.66%
5,2020*,3.56%
6,2019*,3.45%
7,2018,3.51%
8,2017,5.32%
9,2016,5.17%
10,2015,5.59%
11,2014,6.13%
12,2013,7.87%
13,2012,16%
14,2011,12.69%
15,2010,7.19%
16,2009,12.14%
17,2008,10.28%
18,2007,7.03%
19,2006,7.25%
20,2005,4.36%
21,2004,4.14%
22,2003,4.43%
23,2002,4.56%
24,2001,5.15%
25,2000,5.96%
26,1999,7.89%
27,1998,12.78%
28,1997,16.14%
29,1996,21.05%
30,1995,26.77%
31,1994,37.9%
32,1993,26.1%
33,1992,20.7%
34,1991,25.2%
35,1990,36.4%
36,1989,25.8%
37,1988,31.2%
38,1987,29.9%
39,1986,32.4%
40,1985,33.3%
