,Month,Producer Price Index (2010=100)
0,Oct '20,56.8
1,Sept '20,58.6
2,Aug '20,64.5
3,July '20,62.6
4,June '20,57.8
5,May '20,52.1
6,April '20,44.7
7,Mar '20,64.4
8,Feb '20,94.6
9,Jan '20,104.1
10,Dec '19,111.7
11,Nov '19,109.4
12,Oct '19,100.5
13,Sept '19,103.1
14,Aug '19,97.3
15,July '19,99.3
16,June '19,100.5
17,May '19,110.1
18,April '19,107.2
19,Mar '19,100.3
20,Feb '19,99.8
21,Jan '19,95.3
22,Dec '18,93.6
23,Nov '18,102.8
24,Oct '18,122.9
25,Sept '18,120.4
26,Aug '18,109.2
27,July '18,110.2
28,June '18,107.4
29,May '18,110.5
30,April '18,105.7
31,Mar '18,97.4
32,Feb '18,97.5
33,Jan '18,104.0
