,City,"Murder rate per 100,000 inhabitants"
0,Tijuana - Mexico,138.26
1,Acapulco - Mexico,110.5
2,Caracas - Venezuela,99.98
3,Ciudad Victoria - Mexico,86.01
4,Ciudad Juarez - Mexico,85.56
5,Irapuato - Mexico,81.44
6,Ciudad Guayana - Venezuela,78.3
7,Natal - Brazil,74.67
8,Fortaleza - Brazil,69.15
9,Ciudad Bolivar - Venezuela,69.09
10,Cape Town - South Africa,66.36
11,Belem - Brazil,65.31
12,Cancun - Mexico,64.46
13,Feira de Santana - Brazil,63.29
14,"St. Louis, Missouri - U.S.",60.59
15,Culiacan - Mexico,60.52
16,Barquisimeto - Venezuela,56.67
17,Uruapan - Mexico,54.52
18,Kingston - Jamaica,54.12
19,Ciudad Obregón - Mexico,52.09
20,Maceio - Brazil,51.46
21,Vitoria da Conquista - Brazil,50.75
22,"Baltimore, Maryland - U.S.",50.52
23,San Salvador - El Salvador,50.32
24,Aracaju - Brazil,48.77
25,Coatzacoalcos - Mexico,48.35
26,Palmira - Colombia,47.97
27,Maturin - Venezuela,47.24
28,Salvador - Brazil,47.23
29,Macapa - Brazil,47.2
30,Cali - Colombia,47.03
31,Celaya - Mexico,46.99
32,San Pedro Sula - Honduras,46.67
33,Ensenada - Mexico,46.6
34,Campos dos Goytacazes - Brazil,46.28
35,Tepic - Mexico,44.89
36,Manaus - Brazil,44.0
37,Guatemala City - Guatemala,43.73
38,Recife - Brazil,43.72
39,Distrito Central - Honduras,43.3
40,San Juan - Puerto Rico,42.4
41,Valencia - Venezuela,42.36
42,Reynosa - Mexico,41.48
43,João Pessoa - Brazil,41.36
44,Nelson Mandela Bay - South Africa,39.16
45,"Detroit, Michigan - U.S.",38.78
46,Durban - South Africa,38.51
47,Teresina - Brazil,37.61
48,Chihuahua - Mexico,37.5
49,"New Orleans, Louisiana - U.S.",36.87
