,Year,Expenditure in million GBP
0,2019 Q4,23677
1,2019 Q3,23710
2,2019 Q2,23610
3,2019 Q1,23460
4,2018 Q4,23410
5,2018 Q3,23244
6,2018 Q2,23082
7,2018 Q1,23101
8,2017 Q4,22862
9,2017 Q3,22542
10,2017 Q2,22381
11,2017 Q1,22037
12,2016 Q4,21623
13,2016 Q3,21415
14,2016 Q2,21006
15,2016 Q1,20760
16,2015 Q4,20495
17,2015 Q3,20282
18,2015 Q2,20238
19,2015 Q1,20156
20,2014 Q4,20608
21,2014 Q3,20940
22,2014 Q2,20853
23,2014 Q1,20803
24,2013 Q4,20779
25,2013 Q3,20495
26,2013 Q2,20250
27,2013 Q1,20156
28,2012 Q4,20142
29,2012 Q3,19561
30,2012 Q2,19384
31,2012 Q1,19579
