,U.S. Soccer employees,Salary in U.S. dollars
0,Jürgen Klinsmann (ex-USMNT coach),3354167
1,Bruce Arena (ex-USMNT coach),1274957
2,Dan Flynn (chief executive officer),836517
3,Jay Berhalter (chief operating officer),609271
4,Andreas Herzog (ex-USMNT assistant coach),363534
5,"Tom King (managing director, administration)",352235
6,"Tab Ramos (U-20 USMNT coach, youth technical director)",345297
7,George Chiampas (chief medical officer),342600
8,Brian Remedi (chief administrative officer),338845
9,Jill Ellis (USWNT coach),318533
