,Worst airports,Score*
0,"Mohammed V International Airport (CMN), Morocco",3.19
1,"LaGuardia Airport (LGA), United States",3.19
2,"Berlin Schönefeld Airport (SFX), Germany",3.22
3,"Rome Fiumicino Airport (FCO), Italy",3.34
4,"Marrakesh Menara Airport (RAK), Morocco",3.38
5,"Rome Ciampino Airport (CIA), Italy",3.44
6,"Mexico City International Airport (MEX), Mexico",3.47
7,"Berlin Tegel Airport (TXL), Germany",3.47
8,"London Stansted Airport (STN), United Kingdom",3.52
9,"Budapest Ferihegy International Airport (BUD), Hungary",3.54
