,Year,Life expectancy in years
0,2020,64.28
1,2015,62.32
2,2010,59.63
3,2005,57.0
4,2000,54.67
5,1995,51.96
6,1990,48.56
7,1985,44.97
8,1980,41.63
9,1975,38.74
10,1970,36.15
11,1965,33.74
12,1960**,31.13
13,1955,28.61
14,1950,31.88
15,1945,31.62
16,1940,31.32
17,1935,31.08
18,1930,30.78
19,1925,30.52
20,1920,25.76
21,1915,29.94
22,1910,29.68
23,1905,29.4
24,1900,29.12
25,1895,28.82
26,1890,28.54
27,1885,28.24
28,1880,27.96
29,1875,27.68
30,1870,27.5
31,1865,27.58
32,1860,27.6
33,1855,27.7
34,1850,27.7
35,1845,27.8
36,1840,27.8
37,1835,27.9
38,1830,27.9
39,1825,28.0
40,1820,28.02
41,1815,28.1
42,1810,28.12
43,1805,28.2
44,1800,28.2
