,Quarter,Revenue in million U.S. dollars
0,Q3 '20,304.02
1,Q2 '20,395.65
2,Q1 '20,374.15
3,Q4 '19,612.32
4,Q3 '19,495.61
5,Q2 '19,532.58
6,Q1 '19,578.41
7,Q4 '18,799.93
8,Q3 '18,592.88
9,Q2 '18,617.4
10,Q1 '18,626.54
11,Q4 '17,873.17
12,Q3 '17,634.47
13,Q2 '17,662.62
14,Q1 '17,673.63
15,Q4 '16,904.87
16,Q3 '16,686.56
17,Q2 '16,723.76
18,Q1 '16*,698.44
19,Q4 '15,917.17
20,Q3 '15,713.6
21,Q2 '15,738.4
22,Q1 '15,750.36
23,Q4 '14,883.23
24,Q3 '14*,714.27
25,Q2 '14,716.21
26,Q1 '14,728.42
27,Q4 '13,768.45
28,Q3 '13,595.06
29,Q2 '13,608.75
30,Q1 '13,601.4
31,Q4 '12,638.3
32,Q3 '12,568.55
33,Q2 '12,568.34
34,Q1 '12,559.28
35,Q4 '11,492.16
36,Q3 '11,430.16
37,Q2 '11,392.58
38,Q1 '11,295.52
39,Q4 '10,172.22
40,Q3 '10,81.78
41,Q2 '10,38.67
42,Q1 '10,20.27
43,Q4 '09,9.25
44,Q3 '09,4.0
45,Q2 '09,1.21
