,container ports in Brazil,Throughput in thousand TEUs
0,Santos  (São Paulo),3904.57
1,Itajaí inc. Navegantes/Portonave(Santa Catarina),1233.26
2,Paranaguá (Paraná),865.11
3,Rio Grande inc. Porto Alegre (Rio Grande do Sul),782.34
4,Sâo Francisco do Sul inc. Itapoá(Santa Catarina),735.14
5,Suape  (Pernambuco),476.35
6,Pecém inc.Fortaleza (Ceará),406.13
7,Rio de Janeiro  (Rio de Janeiro),372.91
8,Salvador  (Bahia),323.65
9,Itaguaí / Sepetiba (Rio de Janeiro),253.99
10,Vitória  (Espírito Santo),226.6
11,Vila do Conde inc.Belem (Pará),130.08
12,Imbituba (Santa Catarina),58.89
13,Natal  (Rio Grande do Norte),46.69
14,Porto Velho (Rondônia),15.26
