,Year,Inflation rate compared to previous year
0,2025*,6%
1,2024*,6.9%
2,2023*,8.9%
3,2022*,14.01%
4,2021*,20.63%
5,2020*,21.02%
6,2019,17.08%
7,2018,19.63%
8,2017,29.84%
9,2016,30.69%
10,2015,9.16%
11,2014,7.3%
12,2013,8.78%
13,2012,10.29%
14,2011,13.48%
15,2010,14.48%
16,2009,13.72%
17,2008,12.47%
18,2007,12.25%
19,2006,13.31%
20,2005,22.96%
21,2004,43.53%
22,2003,98.22%
23,2002,108.89%
24,2001,152.59%
25,2000,325.03%
26,1999,248.25%
27,1998,107.43%
28,1997,221.49%
29,1996,"4,146.01%"
30,1995,"2,672.23%"
31,1994,949.77%
32,1993,"1,379.48%"
33,1992,299.1%
34,1991,85.27%
35,1990,1.83%
36,1989,1.83%
37,1988,1.83%
38,1987,1.83%
39,1986,1.83%
40,1985,1.83%
