,Pharmaceutical company,Indicator score from 1 (lowest) to 5 (highest)
0,Novartis AG,4.56
1,Roche Holding Ltd.,4.52
2,GlaxoSmithKline plc,4.26
3,Johnson & Johnson,4.12
4,Novo Nordisk A/S,3.98
5,Takeda Pharamceutical Co.,3.7
6,Sanofi,3.52
7,Merck KGaA,3.42
8,Pfizer Inc.,3.4
9,Merck & Co. Inc.,3.34
10,AstraZeneca plc,3.26
11,Eisai Co. Ltd.,3.08
12,Bristol-Myers Squibb Co.,3.06
13,Eli Lilly & Co.,3.0
14,AbbVie Inc.,2.86
15,Bayer AG,2.79
16,Boehringer-Ingelheim GmbH,2.63
17,Gilead Sciences,2.23
18,Daiichi Sankyo Co. Ltd.,1.9
19,Astellas Pharma Inc.,1.82
