,Response,Share of total employment
0,2029 *,5.09%
1,2028 *,4.95%
2,2027 *,4.82%
3,2026 *,4.72%
4,2025 *,4.67%
5,2024 *,4.64%
6,2023 *,4.59%
7,2022 *,4.59%
8,2021 *,4.6%
9,2020 *,4.63%
10,2019,4.68%
11,2018,4.69%
12,2017,4.62%
13,2016,4.47%
14,2015,4.36%
15,2014,4.28%
16,2013,4.28%
17,2012,4.29%
18,2011,3.97%
19,2010,3.69%
20,2009,2.88%
21,2008,3.53%
22,2007,3.62%
23,2006,3.66%
24,2005,3.66%
25,2004,3.58%
26,2003,2.74%
27,2002,3.67%
28,2001,3.66%
29,2000,4.09%
30,1999,4.06%
31,1998,3.95%
32,1997,4.04%
33,1996,4.25%
34,1995,4.82%
