,Month,Payroll in thousand U.S. dollars
0,"Valeri ""Vako"" Qazaishvili",1604.04
1,Chris Wondolowski,800.0
2,Florian Jungwirth,616.68
3,Guram Kashia,590.0
4,Cristian Espinoza,550.0
5,Danny Hoesen,549.67
6,Anibal Godoy,498.13
7,Magnus Eriksson,450.0
8,Marcos Lopez Lanfranco,387.75
9,Harold Cummings,320.67
10,Judson,305.0
11,Francois Affolter,273.0
12,Shea Salinas,250.0
13,Andrew Tarbell,235.0
14,Nick Lima,218.44
15,Daniel Vega,210.0
16,Jackson Yueill,190.0
17,Tommy Thompson,175.0
18,JT Marcinkowski,147.0
19,Eric Calvillo,135.0
20,Siad Haji,104.0
21,Gilbert Fuentes,92.0
22,Matt Bersano,71.67
23,Luis Felipe,71.63
24,Jimmy Ockford,70.88
25,Cade Cowell,67.23
26,Jacob Akanyirige,64.23
27,Kevin Partida,57.23
28,Paul Marie,57.23
