,Month,Index number of sales per week
0,Jun 20,59.1
1,May 20,35.7
2,Apr 20,32.3
3,Mar 20,56.0
4,Feb 20,88.5
5,Jan 20,113.0
6,Dec 19,105.2
7,Nov 19,98.1
8,Oct 19,85.1
9,Sep 19,82.0
10,Aug 19,80.6
11,Jul 19,79.0
12,Jun 19,80.0
13,May 19,77.8
14,Apr 19,81.3
15,Mar 19,93.7
16,Feb 19,77.0
17,Jan 19,86.4
18,Dec 18,92.3
19,Nov 18,90.5
20,Oct 18,91.5
21,Sep 18,95.4
22,Aug 18,95.6
23,Jul 18,94.6
24,Jun 18,91.0
25,May 18,96.5
26,Apr 18,102.0
27,Mar 18,94.8
28,Feb 18,93.2
29,Jan 18,93.3
30,Dec 17,91.8
31,Nov 17,95.0
32,Oct 17,102.1
33,Sep 17,94.3
34,Aug 17,97.4
35,Jul 17,98.0
36,Jun 17,98.4
37,May 17,91.1
38,Apr 17,94.0
39,Mar 17,83.9
40,Feb 17,93.9
41,Jan 17,96.3
42,Dec 16,97.3
43,Nov 16,97.9
44,Oct 16,98.3
45,Sep 16,97.1
46,Aug 16,94.0
47,July 16,98.4
48,June 16,97.4
49,May 16,105.2
50,April 16,102.9
51,Mar 16,102.6
52,Feb 16,106.3
53,Jan 16,104.1
