,U.S. president,Years in office
0,George Washington,7.84
1,John Adams,4.0
2,Thomas Jefferson,8.0
3,James Madison,8.0
4,James Monroe,8.0
5,John Quincy Adams,4.0
6,Andrew Jackson,8.0
7,Martin Van Buren,4.0
8,William H. Harrison*,0.08
9,John Tyler,3.92
10,James K. Polk,4.0
11,Zachary Taylor*,1.35
12,Millard Fillmore,2.65
13,Franklin Pierce,4.0
14,James Buchanan,4.0
15,Abraham Lincoln**,4.11
16,Andrew Johnson,3.89
17,Ulysses S. Grant,8.0
18,Rutherford B. Hayes,4.0
19,James A. Garfield**,0.54
20,Chester A. Arthur,3.46
21,Grover Cleveland***,8.0
22,Benjamin Harrison,4.0
23,William McKinley**,4.53
24,Theodore Roosevelt,7.47
25,William H. Taft,4.0
26,Woodrow Wilson,8.0
27,Warren G. Harding*,2.41
28,Calvin Coolidge,5.59
29,Herbert Hoover,4.0
30,Franklin D. Roosevelt*,12.11
31,Harry S. Truman,7.78
32,Dwight D. Eisenhower,8.0
33,John F. Kennedy**,2.84
34,Lyndon B. Johnson,5.16
35,Richard Nixon****,5.55
36,Gerald Ford,2.45
37,Jimmy Carter,4.0
38,Ronald Raegan,8.0
39,George H. W. Bush,4.0
40,Bill Clinton,8.0
41,George W. Bush,8.0
42,Barack Obama,8.0
43,Donald Trump*****,4.0
