,federative unit of Brazil,Number of cases
0,São Paulo,1471422
1,Minas Gerais,550672
2,Santa Catarina,497345
3,Bahia,496008
4,Rio Grande do Sul,454757
5,Rio de Janeiro,435739
6,Paraná,421315
7,Ceará,336763
8,Goiás,309341
9,Pará,294010
10,Distrito Federal,253355
11,Espírito Santo,251643
12,Pernambuco,223540
13,Amazonas,202413
14,Maranhão,201017
15,Mato Grosso,180380
16,Paraíba,168044
17,Piauí,143489
18,Mato Grosso do Sul,135917
19,Rio Grande do Norte,119079
20,Sergipe,114685
21,Alagoas,105714
22,Rondônia,96906
23,Tocantins,90703
24,Roraima,68875
25,Amapá,68568
26,Acre,42046
