,Year,Inflation rate compared to previous year
0,2024*,2%
1,2023*,2%
2,2022*,2%
3,2021*,2%
4,2020*,1.1%
5,2019*,0.65%
6,2018,1.85%
7,2017,0.75%
8,2016,1.65%
9,2015,1.55%
10,2014,0.44%
11,2013,1.88%
12,2012,1.29%
13,2011,0.91%
14,2010,0.99%
15,2009,0.97%
16,2008,3.89%
17,2007,2.04%
18,2006,3.29%
19,2005,0.98%
20,2004,1.49%
21,2003,1.16%
22,2002,2.78%
23,2001,0.61%
24,2000,1.92%
25,1999,0.69%
26,1998,2.75%
27,1997,1.04%
28,1996,2.99%
29,1995,6.12%
30,1994,5.14%
31,1993,5.18%
32,1992,5.74%
33,1991,8.99%
34,1990,6.03%
35,1989,3.14%
36,1988,2.37%
37,1987,2.7%
38,1986,8.73%
39,1985,7.73%
40,1984,12.45%
