,Year,GDP in billion international dollars
0,2021*,5725.13
1,2020*,5451.45
2,2019,5711.93
3,2018,5577.57
4,2017,5427.37
5,2016,5213.99
6,2015,5133.76
7,2014,5019.48
8,2013,4909.87
9,2012,4730.59
10,2011,4573.19
11,2010,4484.79
12,2009,4254.78
13,2008,4464.4
14,2007,4427.64
15,2006,4241.64
16,2005,4059.4
17,2004,3872.4
18,2003,3689.54
19,2002,3567.75
20,2001,3508.04
21,2000,3418.87
22,1999,3253.67
23,1998,3215.46
24,1997,3215.96
25,1996,3127.79
26,1995,2979.19
27,1994,2840.13
28,1993,2753.41
29,1992,2703.68
30,1991,2621.21
31,1990,2451.67
32,1989,2253.0
33,1988,2067.55
34,1987,1870.23
35,1986,1742.65
36,1985,1653.26
37,1984,1522.88
