,Quarter,Viewers in thousands
0,Q1 2012,5377
1,Q2 2012,5415
2,Q3 2012,5570
3,Q4 2012,5537
4,Q1 2013,5675
5,Q2 2013,5684
6,Q3 2013,5826
7,Q4 2013,6185
8,Q1 2014,6297
9,Q2 2014,6075
10,Q3 2014,6617
11,Q4 2014,7018
12,Q1 2015,6359
13,Q2 2015,6214
14,Q3 2015,6379
15,Q4 2015,4035
16,Q1 2016,6163
17,Q2 2016,5812
18,Q3 2016,6322
19,Q4 2016,5409
20,Q1 2017,4747
21,Q2 2017,4782
22,Q3 2017,4685
23,Q4 2017,4730
24,Q1 2018,4558
25,Q2 2018,4673
26,Q3 2018,4987
27,Q4 2018,4549
28,Q1 2019,3998
29,Q2 2019,3639
30,Q3 2019,3998
