,Year,Distillate fuel oil,Motor gasoline
0,18,3122.44,8980.57
1,17,2975.7,8987.62
2,16,2943.55,8972.95
3,15,2974.15,8834.98
4,14,2927.82,8777.96
5,13,2804.08,8679.23
6,12,2718.65,8525.18
7,11,2848.78,8591.32
8,10,2763.93,8824.31
9,9,2626.28,8840.73
10,8,2737.97,8834.37
11,7,3036.92,9092.86
12,6,3016.87,9029.34
13,5,2857.58,8948.24
14,4,2782.52,8886.93
15,3,2629.06,8732.87
16,2,2536.25,8661.57
17,1,2488.9,8435.2
18,0,2422.45,8369.92
19,99,2352.18,8336.11
20,98,2263.05,8128.09
21,97,2197.55,7883.05
22,96,2096.36,7771.96
23,95,1973.07,7674.0
24,94,1896.41,7487.35
25,93,1785.32,7367.25
26,92,1727.95,7125.1
