,Largest cruise ships,Length in feet
0,Harmony of the Seas (Royal Caribbean - 2016),1188
1,Allure of the Seas (Royal Caribbean - 2010),1187
2,Oasis of the Seas (Royal Caribbean - 2009),1187
3,Quantum of the Seas (Royal Caribbean - 2014),1141
4,Anthem of the Seas (Royal Caribbean - 2015),1141
5,Ovation of the Seas (Royal Caribbean - 2016),1138
6,Queen Mary 2 (Cunard - 2004),1130
7,Disney Fantasy (Disney Cruise Line - 2012),1115
8,Liberty of the Seas (Royal Caribbean - 2007),1112
9,Freedom of the Seas (Royal Caribbean - 2006),1112
10,Independence of the Seas (Royal Caribbean - 2008),1112
11,MSC Preziosa (MSC Cruises - 2013),1093
12,Britannia (P&O Cruises - 2015),1083
13,Royal Princess (Princess Cruises - 2013),1083
14,Regal Princess (Princess Cruises - 2014),1083
15,MSC Divina (MSC Cruises - 2012),1083
16,MSC Fantasia (MSC Cruises - 2008),1083
17,MSC Splendida (MSC Cruises - 2009),1083
18,Norwegian Epic (Norwegian Cruise Line - 2010),1081
19,Norwegian Escape (Norwegian Cruise Line - 2015),1069
