,Platform,Percentage change 2018 vs. 2017,Brand value (in billion U.S. dollars)
0,Apple,9,234.24
1,Google,8,167.71
2,Amazon,24,124.26
3,Microsoft,17,108.85
4,Coca-Cola,-4,63.37
5,Samsung,2,61.1
6,Toyota,5,56.25
7,Mercendes-Benz,5,50.83
8,McDonald's,4,45.36
9,Disney,11,44.35
10,BMW,1,41.44
11,IBM,-6,40.38
12,Intel,-7,40.2
13,Facebook,-12,39.86
14,Cisco,3,35.56
15,Nike,7,32.38
16,Louis Vuitton,14,32.22
17,Oracle,1,26.29
18,General Electric,-22,25.57
19,SAP,10,25.09
20,Honda,3,24.42
21,Chanel*,11,22.13
22,American Express,13,21.63
23,Pepsi,-1,20.49
24,J.P. Morgan,8,19.04
25,IKEA,5,18.41
26,UPS,7,18.07
27,Hermes Paris,9,17.92
28,Zara,-3,17.18
29,H&M,-3,16.35
30,Accenture,14,16.2
31,Budweiser,3,16.02
32,Gucci,23,15.95
33,Pampers,-5,15.77
34,Ford,2,14.33
35,Hyundai,5,14.16
36,Gillette,-18,13.75
37,Nescafe,4,13.61
38,Adobe,20,12.94
39,Volkswagen,6,12.92
40,Citi,10,12.7
41,Audi,4,12.69
42,Allianz,12,12.08
43,eBay,-8,12.01
44,Adidas,11,11.99
45,AXA,6,11.83
46,HSBC,5,11.82
47,Starbucks,23,11.8
48,Philips,-4,11.66
49,Porsche,9,11.65
50,L'Oréal,4,11.59
51,Nissan,-6,11.5
52,Goldman Sachs,-4,11.35
53,HP,4,10.89
54,Visa,19,10.76
55,Sony,13,10.51
56,Kellogg's,-2,10.42
57,Siemens,1,10.26
58,Danone,4,9.91
59,Nestle,7,9.53
60,Canon,-9,9.48
61,Mastercard,25,9.43
62,Dell Technologies*,-,9.09
63,3M,-1,9.04
64,Netflix,10,8.96
65,Colgate,2,8.82
66,Santander,13,8.52
67,Cartier,7,8.19
68,Morgan Stanley,-7,8.19
69,Salesforce,24,8.0
70,Hewlett Packard Enterprise,-3,7.91
71,PayPal,15,7.6
72,FedEx,2,7.0
73,Huawei,-9,6.89
74,Lego,5,6.88
75,Caterpillar,19,6.79
76,Ferrari,12,6.46
77,KIA,-7,6.43
78,Corona,15,6.37
79,Jack Daniel's,13,6.35
80,Panasonic,-2,6.19
81,Dior,16,6.05
82,DHL,2,5.99
83,John Deere,9,5.88
84,Land Rover,-6,5.86
85,Johnson & Johnson,-8,5.72
86,Uber*,-,5.71
87,Heineken,4,5.63
88,Nintendo,18,5.55
89,Mini,5,5.53
90,Discovery,-4,5.53
91,Spotify,7,5.53
92,KFC,1,5.51
93,Tiffany & Co,-5,5.34
94,Hennessy,12,5.3
95,Burberry,4,5.21
96,Shell,-3,5.11
97,LinkedIn*,-,4.84
98,Harley-Davidson,-7,4.79
99,Prada,-1,4.78
