,European real estate investment market,Purchase volume in billion euros
0,Brookfield AM,9.01
1,Blackstone,8.92
2,Klepierre,7.69
3,Quata Investment Authority,6.86
4,Vonovia SE,6.26
5,Lone Star,4.28
6,Patrizia,3.85
7,AXA Group,3.39
8,DekaBank,3.2
9,Union Investment,3.17
10,AEW Capital,3.13
11,CBRE Global Investors,3.02
12,CPP Investment Board,2.68
13,Amundi Real Estate,2.67
14,Legal & General Properties,2.61
15,Hudson's Bay Company,2.5
16,Deutsche Bank,2.17
17,Merlin Properties,2.09
18,Standard Life,2.06
19,Prudential Plc,2.06
