,Year,Inflation rate compared to previous year
0,2025*,2.5%
1,2024*,2.5%
2,2023*,2.5%
3,2022*,2.5%
4,2021*,2.8%
5,2020*,2.68%
6,2019*,3.01%
7,2018,2.68%
8,2017,1.76%
9,2016,1.7%
10,2015,1.63%
11,2014,2.04%
12,2013,3.87%
13,2012,5.19%
14,2011,4%
15,2010,5.4%
16,2009,12%
17,2008,12.68%
18,2007,5.07%
19,2006,6.67%
20,2005,4%
21,2004,3.15%
22,2003,2.06%
23,2002,5.18%
24,2001,6.4%
25,2000,5.12%
26,1999,3.22%
27,1998,1.7%
28,1997,1.8%
29,1996,2.25%
30,1995,1.66%
31,1994,1.55%
32,1993,4.08%
33,1992,3.96%
34,1991,6.81%
35,1990,15.51%
36,1989,14.5%
37,1988,25.46%
38,1987,18.76%
39,1986,21.27%
40,1985,32.38%
