,German Football Teams,Market value in million euros
0,FC Bayern Munich,866.65
1,Borussia Dortmund,634.1
2,RasenBallsport Leipzig,521.1
3,Bayer 04 Leverkusen,413.1
4,Borussia Mönchengladbach,257.0
5,TSG 1899 Hoffenheim,242.5
6,VfL Wolfsburg,224.9
7,Hertha BSC Berlin,223.2
8,FC Schalke 04,206.48
9,Eintracht Frankfurt,204.05
10,SV Werder Bremen,169.98
11,1. FSV Mainz 05,150.35
12,FC Augsburg,128.25
13,SC Freiburg,121.08
14,1.FC Köln,94.8
15,Fortuna Düsseldorf,81.55
16,1.FC Union Berlin,35.45
17,SC Paderborn 07,24.9
