,Brand,Brand value in million U.S. dollars
0,Samsung Electronics,39610
1,Hyundai Motor Company,9004
2,Kia Motors Corporation,4708
3,SK Telecom,3855
4,POSCO,2494
5,Samsung Life Insurance,2476
6,LG Electronics,2392
7,NAVER,2295
8,KB Kookmin Bank,2264
9,Shinhan Card,2187
10,Korea Telecom,1825
11,Shinhan Bank,1657
12,Hana Bank,1607
13,Hyundai Heavy Industries,1565
14,Samsung Fire & Marine Insurance,1551
15,Hyundai Mobis,1410
16,LG Chem,1402
17,Lotte Shopping,1313
18,Amore Pacific,1148
19,Hyundai Card,1121
20,Samsung Card,1078
21,Kyobo Life Insurance,1065
22,Samsung C&T,1061
23,Hyundai Engineering & Construction,903
24,Hankook Tire,779
