,transit agency,Average weekday ridership
0,Los Angeles County Metropolitan Transportation  Authority,1439259
1,Long Beach Transit,89722
2,City of Los Angeles Department of Transportation  (“DASH”),78697
3,Santa Monica Big Blue Bus,61856
4,Metrolink,49745
5,Foothill Transit,48412
6,Metro: Small Operators,41295
7,Montebello Municipal Bus Lines,24858
8,Culver CityBus,20822
9,Torrance Transit,13659
10,Gardena Municipal Bus Lines,12875
11,Antelope Valley Transit Authority,11881
12,City of Santa Clarita Transit,11502
13,Norwalk Transit District,5573
