,Year,Gross domestic product in billion international dollars
0,2021*,691.36
1,2020*,638.36
2,2019*,668.83
3,2018,652.8
4,2017,628.47
5,2016,608.94
6,2015,584.01
7,2014,557.37
8,2013,527.21
9,2012,504.0
10,2011,478.3
11,2010,455.65
12,2009,434.68
13,2008,424.47
14,2007,406.77
15,2006,383.2
16,2005,365.78
17,2004,334.97
18,2003,312.74
19,2002,286.42
20,2001,267.0
21,2000,253.66
22,1999,239.04
23,1998,228.33
24,1997,214.83
25,1996,208.89
26,1995,197.63
27,1994,186.4
28,1993,184.16
29,1992,183.76
30,1991,176.83
31,1990,173.13
32,1989,165.56
33,1988,152.01
34,1987,149.68
35,1986,147.1
36,1985,144.48
37,1984,132.63
