,Team,Ticket price in U.S. dollars
0,Los Angeles Chargers,165.77
1,New England Patriots,127.04
2,Chicago Bears,124.51
3,Green Bay Packers,122.68
4,Philadelphia Eagles,119.59
5,Los Angeles Rams,118.09
6,San Francisco 49ers,116.98
7,New York Giants,115.31
8,Houston Texans,115.24
9,Seattle Seahawks,111.79
10,Dallas Cowboys,110.27
11,Denver Broncos,105.14
12,Pittsburgh Steelers,104.6
13,Atlanta Falcons,104.08
14,Minnesota Vikings,103.98
15,Baltimore Ravens,103.59
16,Washington Redskins,103.39
17,NFL Average,102.35
18,Carolina Panthers,99.77
19,New Orleans Saints,97.72
20,New York Jets,94.16
21,Indianapolis Colts,93.62
22,Detroit Lions,92.88
23,Oakland Raiders,87.78
24,Tennessee Titans,86.33
25,Arizona Cardinals,84.83
26,Miami Dolphins,84.51
27,Kansas City Chiefs,83.4
28,Tampa Bay Buccaneers,82.59
29,Jacksonville Jaguars,81.54
30,Cincinnati Bengals,77.41
31,Cleveland Browns,73.91
32,Buffalo Bills,71.08
