,Metropolitan Area,Percent change form preceding period
0,"Midland, TX",21.9%
1,"San Jose-Sunnyvale-Santa Clara, CA",10.1%
2,"Seattle-Tacoma-Bellevue, WA",6.9%
3,"Las Vegas-Henderson-Paradise, NV",6.1%
4,"Raleigh-Cary, NC",5.9%
5,"Austin-Round Rock-Gerogetown, TX",5.6%
6,"San Francisco-Oakland-Berkeley, CA",5.1%
7,"Boise City, ID",4.8%
8,"San Antonio-New Braunfels, TX",4.6%
9,"Phoenix-Mesa-Chandler, AZ",4.5%
10,"Portland-Vancouver-Hillsboro, OR-WA",4.4%
11,"Stockton, CA",4.4%
12,"Fresno, CA",4.4%
13,"North Port-Sarasota-Bradenton, FL",4.3%
14,"Nashville-Davidson-Murfreesboro-Franklin, TN",4.2%
15,"Santa Rosa-Petaluma, CA",4.2%
16,"Orlando-Kissimmee-Sanford, FL",4.1%
17,"San Diego-Chula Vista-Carlsbad, CA",4.1%
18,"Baton Rouge, LA",4.1%
19,"Dallas-Fort Worth-Arlington, TX",3.9%
20,"Santa Maria-Santa Barbara, CA",3.7%
21,"Denver-Aurora-Lakewood, CO",3.7%
22,"Charleston-North Charleston, SC",3.6%
23,"Tampa-St. Petersburg-Clearwater, FL",3.6%
24,"Tucson, AZ",3.6%
25,"Sacramento-Roseville-Folsom, CA",3.5%
26,"Grand Rapids-Kentwood, MI",3.5%
27,"Boston-Cambridge-Newton, MA-NH",3.4%
28,"Salt Lake City, UT",3.4%
29,"Durham-Chapel Hill, NC",3.4%
30,"Greenville-Anderson, SC",3.3%
31,"Wichita, KS",3.3%
32,"Riverside-San Bernardino-Ontario, CA",3.3%
33,"Cape Coral-Fort Myers, FL",3.2%
34,"Colorado Springs, CO",3.2%
35,"El Paso, TX",3.2%
36,"Birmingham-Hoover, AL",3.2%
37,"Los Angeles-Long Beach-Anaheim, CA",3.1%
38,"Tulsa, OK",3.1%
39,"Oklahoma City, OK",3.1%
40,"Pittsburgh, PA",3%
41,"Houston-The Woodlands-Sugar Land, TX",3%
42,"St. Louis, MO-IL",3%
43,"Jacksonville, FL",2.9%
44,"Miami-Fort Lauderdale-Pompano Beach, FL",2.9%
45,"Knoxville, TN",2.8%
46,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2.7%
47,"Minneapolis-St.Paul-Bloomington, MN-WI",2.6%
48,"Baltimore--Columbia-Towson, MD",2.6%
49,"Portland-South Portland, ME",2.6%
50,"Lancaster, PA",2.6%
51,"Chattanooga, TN-GA",2.6%
52,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2.5%
53,"Harrisburg-Carlisle, PA",2.5%
54,"Atlanta-Sandy Springs-Alpharetta, GA",2.5%
55,"Toledo, OH",2.4%
56,"Allentown-Bethlehem-Easton, PA-NJ",2.4%
57,"Scranton--Wilkes-Barre, PA",2.3%
58,"Memphis, TN-MS-AR",2.3%
59,"Madison, WI",2.3%
60,"Detroit-Warren-Dearborn, MI",2.3%
61,"Trenton-Princeton, NJ",2.3%
62,"Milwaukee-Waukesha, WI",2.3%
63,"Virginia Beach-Norfolk-Newport News, VA-NC",2.2%
64,"New Orleans-Metairie, LA",2.2%
65,"Worcester, MA-CT",2.2%
66,"Charlotte-Concord-Gastonia, NC-SC",2.1%
67,"Indianapolis-Carmel-Anderson, IN",2.1%
68,"Albuquerque, NM",2.1%
69,"Little Rock-North Little Rock-Conway, AR",2.1%
70,"Kansas City, MO-KS",2%
71,"Urban Honolulu, HI",2%
72,"Cleveland-Elyria, OH",1.9%
73,"Columbus, OH",1.9%
74,"Chicago-Naperville-Elgin, IL-IN-WI",1.9%
75,"Richmond, VA",1.9%
76,"Dayton-Kettering, OH",1.9%
77,"Poughkeepsie-Newburgh-Middletown, NY",1.8%
78,"Des Moines-West Des Moines, IA",1.8%
79,"Cincinnati, OH-KY-IN",1.7%
80,"Louisville/Jefferson County, KY-IN",1.7%
81,"Akron, OH",1.7%
82,"New Haven-Milford, CT",1.7%
83,"New York-Newark-Jersey City, NY-NJ-PA",1.6%
84,"Springfield, MA",1.5%
85,"Greensboro-High Point, NC",1.5%
86,"Oxnard-Thousand Oaks-Ventura, CA",1.3%
87,"Providence-Warwick, RI-MA",1.2%
88,"Columbia, SC",1.1%
89,"Lexington-Fayette, KY",1%
90,"Omaha-Council Bluffs, NE-IA",1%
91,"Buffalo-Cheektowaga, NY",1%
92,"Syracuse, NY",0.8%
93,"Beaumont-Port Arthur, TX",0.6%
94,"Albany-Schenectady-Troy, NY",0.5%
95,"Rochester, NY",0.4%
96,"Bridgeport-Stamford-Norwalk, CT",0.4%
97,"Winston-Salem, NC",0.1%
98,"Hartford-East Hartford-Middletown, CT",-0.4%
99,"Bakersfield, CA",-0.7%
