,Year,Gross domestic product in billion international dollars
0,2021*,490.7
1,2020*,457.32
2,2019,476.01
3,2018,457.96
4,2017,430.0
5,2016,411.86
6,2015,391.77
7,2014,375.44
8,2013,360.0
9,2012,334.28
10,2011,309.57
11,2010,284.85
12,2009,259.63
13,2008,254.99
14,2007,229.17
15,2006,205.66
16,2005,185.64
17,2004,169.39
18,2003,157.15
19,2002,148.12
20,2001,138.27
21,2000,134.48
22,1999,128.08
23,1998,124.4
24,1997,123.5
25,1996,114.02
26,1995,108.92
27,1994,99.32
28,1993,86.59
29,1992,80.37
30,1991,79.01
31,1990,74.76
32,1989,75.93
33,1988,84.39
34,1987,90.0
35,1986,81.52
36,1985,71.28
37,1984,67.68
