,Metropolitan Area,Number of adherents
0,New York-Northern New Jersey-Long Island,10505858
1,Los Angeles-Long Beach-Santa Ana,6591695
2,Chicago-Joliet-Naperville,5408169
3,Dallas-Fort Worth-Arlington,3525880
4,Houston-Sugar Land-Baytown,3279316
5,Philadelphia-Camden-Wilmington,3261111
6,Atlanta-Sandy Springs-Marietta,2619742
7,Boston-Cambridge-Quincy,2584189
8,Washington-Arlington-Alexandria,2488324
9,Miami-Fort Lauderdale-Pompano Beach,2117809
10,Detroit-Warren-Livonia,1915407
11,Riverside-San Bernardino-Ontario,1786808
12,Minneapolis-St. Paul-Bloomington,1707511
13,San Francisco-Oakland-Fremont,1638625
14,Phoenix-Mesa-Glendale,1573094
15,St. Louis,1387266
16,Pittsburgh,1359459
17,San Diego-Carlsbad-San Marcos,1359377
18,Seattle-Tacoma-Bellevue,1226050
19,San Antonio-New Braunfels,1158957
