,Year,GDP per capita in U.S. dollars
0,2024*,10606.46
1,2023*,10167.44
2,2022*,9738.0
3,2021*,9344.11
4,2020*,8955.65
5,2019*,8796.91
6,2018*,8958.58
7,2017*,9926.29
8,2016,8751.18
9,2015,8845.67
10,2014,12175.96
11,2013,12357.57
12,2012,12426.69
13,2011,13295.72
14,2010,11327.46
15,2009,8641.66
16,2008,8873.19
17,2007,7385.33
18,2006,5914.46
19,2005,4814.67
20,2004,3655.33
21,2003,3086.09
22,2002,2853.57
23,2001,3177.83
24,2000,3771.94
25,1999,3502.75
26,1998,5128.34
27,1997,5323.82
28,1996,5200.11
29,1995,4950.66
30,1994,3494.0
31,1993,2786.18
32,1992,2522.84
33,1991,2676.89
34,1990,3105.01
35,1989,3086.83
36,1988,2288.61
37,1987,2086.7
38,1986,1954.38
39,1985,1718.9
40,1984,1105.46
