,Country,Final consumption expenditure in million euros
0,United Kingdom,76295.1
1,Germany,75484.0
2,Italy,65042.8
3,France,44854.0
4,Spain,31871.0
5,Netherlands,17651.0
6,Poland,15209.2
7,Austria,11199.2
8,Sweden,8530.4
9,Belgium,10803.2
10,Portugal,8274.7
11,Denmark,5746.9
12,Greece*,4867.5
13,Finland,4865.0
14,Romania,5407.6
15,Ireland,3705.6
16,Czechia,3662.9
17,Hungary,2453.9
18,Slovakia,2075.9
19,Lithuania,1674.4
20,Slovenia,1345.7
21,Bulgaria,1117.0
22,Luxembourg,1023.6
23,Estonia,798.5
24,Latvia,879.0
25,Cyprus,763.1
26,Malta,303.0
