,Year,Gross domestic product in billion U.S. dollars
0,2024*,762.02
1,2023*,683.21
2,2022*,613.39
3,2021*,550.07
4,2020*,494.83
5,2019*,446.54
6,2018,398.19
7,2017,376.36
8,2016,405.44
9,2015,493.84
10,2014,568.5
11,2013,514.97
12,2012,460.95
13,2011,414.1
14,2010,369.06
15,2009,297.46
16,2008,330.26
17,2007,262.22
18,2006,222.79
19,2005,169.65
20,2004,130.35
21,2003,102.94
22,2002,93.98
23,2001,73.13
24,2000,67.82
25,1999,57.48
26,1998,209.68
27,1997,187.87
28,1996,172.69
29,1995,132.23
30,1994,81.13
