,Month,USD MXN exchange rate
0,Nov-20,20.04
1,Oct-20,21.35
2,Sep-20,22.37
3,Aug-20,21.75
4,Jul-20,22.0
5,Jun-20,23.06
6,May-20,22.31
7,Apr-20,23.74
8,Mar-20,23.83
9,Feb-20,19.46
10,Jan-20,18.78
11,Dec-19,18.92
12,Nov-19,19.55
13,Oct-19,19.09
14,Sep-19,19.68
15,Aug-19,20.12
16,Jul-19,19.06
17,Jun-19,19.17
18,May-19,19.53
19,Apr-19,19.0
20,Mar-19,19.36
21,Feb-19,19.16
22,Jan-19,19.11
23,Dec-18,19.65
24,Nov-18,20.22
25,Oct-18,20.06
26,Sep-18,18.79
27,Aug-18,19.1
28,Jul-18,18.53
29,Jun-18,20.15
30,May-18,19.78
31,Apr-18,18.64
32,Mar-18,18.17
33,Feb-18,18.83
34,Jan-18,18.59
35,Dec-17,19.7
36,Nov-17,18.55
37,Oct-17,19.23
38,Sep-17,18.15
39,Aug-17,17.74
40,Jul-17,17.76
41,Jun-17,18.03
42,May-17,18.72
43,Apr-17,19.06
44,Mar-17,18.73
45,Feb-17,19.9
