,Year,Number of Grammy Awards received
0,How to Dismantle an Atomic Bomb by U2,9
1,Supernatural by Santana,9
2,Come Away With Me by Norah Jones,8
3,Genius Loves Company by Ray Charles,8
4,Thriller by Michael Jackson,8
5,All That You Can't Leave Behind by U2,7
6,Back on the Block by Quincy Jones,7
7,21 by Adele,7
8,24K Magic - Bruno Mars,7
9,Back To Black by Amy Winehouse,6
10,The Blueprint 3 by Jay-Z,6
11,Bridge Over Troubled Water by Simon & Garfunkel,6
12,Raising Sand by Robert Plant & Alison Krauss,6
13,The Return of Roger Miller by Roger Miller,6
14,Taking the Long Way by Dixie Chicks,6
15,To Pimp a Butterfly by Kendrick Lamar,6
16,Toto IV by Toto,6
17,Unforgettable...with Love by Natalie Cole,6
18,Unplugged by Eric Clapton,6
