,Year,Gross domestic product in billion international dollars
0,2021*,56.32
1,2020*,52.89
2,2019,55.58
3,2018,53.35
4,2017,50.85
5,2016,48.81
6,2015,47.11
7,2014,45.54
8,2013,43.96
9,2012,42.25
10,2011,40.32
11,2010,38.05
12,2009,36.83
13,2008,37.33
14,2007,35.86
15,2006,34.28
16,2005,31.89
17,2004,30.11
18,2003,29.06
19,2002,28.09
20,2001,27.23
21,2000,26.41
22,1999,25.55
23,1998,24.65
24,1997,23.74
25,1996,22.63
26,1995,22.05
27,1994,20.62
28,1993,19.28
29,1992,17.8
30,1991,16.26
31,1990,15.5
32,1989,14.25
33,1988,13.58
34,1987,12.88
35,1986,12.26
36,1985,11.99
37,1984,11.56
