,Quarter,Metric tons of waste collected
0,Q3 '20,197753
1,Q2 '20,64111
2,Q1 '20,133641
3,Q4 '19,118861
4,Q3 '19,131720
5,Q2 '19,122982
6,Q1 '19,122951
7,Q4 '18,114554
8,Q3 '18,126367
9,Q2 '18,131030
10,Q1 '18,121372
11,Q4 '17,119230
12,Q3 '17,135297
13,Q2 '17,133832
14,Q1 '17,136721
15,Q4 '16,133898
16,Q3 '16,148367
17,Q2 '16,150993
18,Q1 '16,146999
19,Q4 '15,127653
20,Q3 '15,131207
21,Q2 '15,128826
22,Q1 '15,127741
23,Q4 '14,122406
24,Q3 '14,128662
25,Q2 '14,121974
26,Q1 '14,118838
27,Q4 '13,115754
28,Q3 '13,123672
29,Q2 '13,120650
30,Q1 '13,112804
