,Year,Number of divorces
0,2019*,108421
1,2018*,91299
2,2017,110524
3,2016,118046
4,2015,112390
5,2014,122656
6,2013,126719
7,2012,130473
8,2011,129773
9,2010,132338
10,2009,126520
11,2008,135942
12,2007,143825
13,2006,147717
14,2005,154559
15,2004,166669
16,2003,166218
17,2002,160725
18,2001,156798
19,2000,154581
20,1999,158720
21,1998,159997
22,1997,161055
23,1996,171690
24,1995,170062
25,1994,173054
26,1993,180493
27,1992,175112
28,1991,173430
29,1990,167551
30,1989,164295
31,1988,165629
32,1987,164644
33,1986,168283
34,1985,175334
35,1984,157968
36,1983,162374
37,1982,159365
38,1981,156963
39,1980,159727
40,1979,148144
41,1978,152724
42,1977,138445
43,1976,135960
44,1975,129278
45,1974,121103
46,1973,113531
47,1972,124911
48,1971,79588
49,1970,62857
50,1969,55556
51,1968,50597
52,1967,46131
53,1966,42643
54,1965,40476
55,1964,37323
56,1963,34297
57,1962,30977
58,1961,27224
59,1960,25696
60,1959,25990
61,1958,24445
62,1957,25532
63,1956,28156
64,1955,28894
65,1954,30253
66,1953,32702
67,1952,36659
68,1951,30722
69,1950,33074
70,1949,37303
71,1948,45755
72,1947,62787
73,1946,32763
74,1945,17861
75,1944,14051
76,1943,11329
77,1942,8638
78,1941,7132
79,1940,8537
80,1939,9144
81,1938,7039
82,1937,5535
83,1936,5788
84,1935,4567
85,1934,4755
86,1933,4552
87,1932,4382
88,1931,4333
89,1930,4032
90,1929,3915
91,1928,4522
92,1927,3664
93,1926,3047
94,1925,3056
95,1924,2724
96,1923,3030
97,1922,2970
98,1921,4022
99,1920,3866
100,1919,2483
101,1918,1596
102,1917,1000
103,1916,1257
104,1915,922
105,1914,1203
106,1913,827
107,1912,836
108,1911,814
109,1910,819
110,1909,886
111,1908,827
112,1907,844
113,1906,719
114,1905,771
115,1904,710
116,1903,800
117,1902,805
118,1901,635
119,1900,656
120,1899,644
121,1898,643
122,1897,645
123,1896,592
124,1895,524
125,1894,489
126,1893,499
127,1892,445
128,1891,476
129,1890,400
130,1889,451
131,1888,445
132,1887,520
133,1886,422
134,1885,472
135,1884,435
136,1883,399
137,1882,358
138,1881,382
139,1880,358
140,1879,413
141,1878,358
142,1877,278
143,1876,248
144,1875,227
145,1874,232
146,1873,240
147,1872,145
148,1871,177
149,1870,171
150,1869,166
151,1868,36
152,1867,124
153,1866,120
154,1865,183
155,1864,170
156,1863,143
157,1862,149
158,1861,223
159,1860,126
160,1859,141
161,1858,36
