,Year,Gross domestic product in billion international dollars
0,2021*,3.03
1,2020*,2.75
2,2019*,3.06
3,2018*,2.9
4,2017,2.72
5,2016,2.56
6,2015,2.43
7,2014,2.29
8,2013,2.15
9,2012,1.99
10,2011,1.89
11,2010,1.75
12,2009,1.64
13,2008,1.64
14,2007,1.64
15,2006,1.45
16,2005,1.29
17,2004,1.15
18,2003,1.15
19,2002,1.2
20,2001,1.16
21,2000,1.17
22,1999,1.09
23,1998,1.06
24,1997,1.02
25,1996,0.9
26,1995,0.8
27,1994,0.78
28,1993,0.78
29,1992,0.71
30,1991,0.65
31,1990,0.61
32,1989,0.55
33,1988,0.48
34,1987,0.44
35,1986,0.41
36,1985,0.4
37,1984,0.35
