,The richest person,Net worth (in billion U.S. dollars)
0,"Carlos Slim Helu, Mexico",74.0
1,"Bill Gates, U.S.",56.0
2,"Bernard Arnault, France",41.0
3,"Lakshmi Mittal, India",31.1
4,"Amancio Ortega, Spain",31.0
5,"Eike Batista, Brazil",30.0
6,"Li Ka-shing, Hongkong",26.0
7,"Karl Albrecht, Germany",25.5
8,"Stefan Persson, Sweden",24.5
9,"Vladimir Lisin, Russia",24.0
10,"David Thomson, Canada",23.0
11,"Prince Alwaleed Bin Talal Alsaud, Saudi Arabia",19.6
12,"Iris Fontbona, Chile",19.2
13,"Michele Ferrero, Italy",18.0
14,"Rinat Akhmetov, Ukraine",16.0
15,"Aliko Dangote, Nigeria",13.8
16,"Gerald Cavendish Grosvenor, Great Britain",13.0
17,"Robert Kuok, Malaysia",12.5
18,"John Fredriksen, Cyprus",10.7
19,"Luis Carlos Sarmiento, Colombia",10.5
20,"Nasser Al-Kharafi, Kuwait",10.4
21,"Sammy Ofer, Israel",10.3
22,"Ernesto Bertarelli, Switzerland",10.0
23,"Liang Wengen, China",9.3
24,"Petr Kellner, Czech Republik",9.2
25,"Gina Rinehart, Australia",9.0
26,"Lee Kun-Hee, South Korea",8.6
27,"Masayoshi Son, Japan",8.1
28,"Charlene de Cavalho-Heineken, Netherlands",7.5
29,"Cher Wang and Wenchi Chen, Taiwan",6.8
30,"Nassef Sawiris, Egypt",5.6
31,"Carlos and Alejandro Bulgheroni, Argentina",5.1
32,"Dietrich Mateschitz, Austria",5.0
33,"Spiro Latsis, Greece",4.8
34,"Kjeld Kirk Kristiansen, Denmark",4.7
