,Year,GDP per capita in U.S. dollars
0,2025*,4557.83
1,2024*,4288.18
2,2023*,3951.92
3,2022*,3680.06
4,2021*,3446.53
5,2020*,3431.37
6,2019*,3356.78
7,2018*,3413.85
8,2017*,3157.11
9,2016*,2876.21
10,2015,2784.45
11,2014,2387.79
12,2013,2451.85
13,2012,2445.2
14,2011,2382.11
15,2010,1998.77
16,2009,1721.43
17,2008,1865.18
18,2007,1501.91
19,2006,1288.49
20,2005,1171.86
21,2004,1056.23
22,2003,932.76
23,2002,842.67
24,2001,783.2
25,2000,773.49
26,1999,730.51
27,1998,715.85
28,1997,668.03
29,1996,606.11
30,1995,581.14
31,1994,494.13
32,1993,480.27
33,1992,451.7
34,1991,455.21
35,1990,524.93
36,1989,493.32
37,1988,506.51
38,1987,456.24
39,1986,389.91
40,1985,356.03
