,Response,Share of individuals
0,Denmark,24%
1,Norway,26%
2,Finland,29%
3,Sweden,27%
4,United Kingdom,24%
5,Netherlands,25%
6,Malta,21%
7,Estonia,20%
8,Spain,19%
9,Luxembourg,19%
10,European Union (15 countries),18%
11,Germany**,18%
12,Belgium,15%
13,Greece,15%
14,Euro area*,15%
15,European Union (27 countries),17%
16,Hungary,14%
17,France,16%
18,European Union (28 countries),17%
19,Croatia,13%
20,Latvia,16%
21,Ireland,12%
22,Portugal,14%
23,Austria,12%
24,Slovenia,13%
25,Cyprus,13%
26,Lithuania,13%
27,Italy,13%
28,Bulgaria,7%
29,Slovakia,16%
30,Poland,12%
31,Romania,8%
32,Czechia,5%
