,Month,Sales in billion U.S. dollars
0,Jan. '12,2.77
1,Febr. '12,2.71
2,Mar. '12,2.83
3,Apr '12,2.82
4,May '12,2.84
5,Jun. '12,2.82
6,Jul. '12,2.82
7,Aug '12,2.77
8,Sep '12,2.79
9,Oct '12,2.79
10,Nov '12,2.8
11,Dec '12,2.63
12,Jan '13,2.65
13,Feb '13,2.69
14,Mar '13,2.84
15,Apr '13,2.83
16,May '13,2.84
17,Jun '13,2.84
18,Jul '13,2.85
19,Aug '13,2.91
20,Sep '13,2.98
21,Oct '13,3.05
22,Nov '13,3.08
23,Dec '13,2.96
24,Jan '14,2.95
25,Feb '14,2.96
26,Mar '14,3.08
27,Apr '14,3.06
28,May '14,3.13
29,Jun '14,3.18
30,Jul '!4,3.27
31,Aug '14,3.22
32,Sep '14,3.21
33,Oct '14,3.21
34,Nov '14,3.19
35,Dec '14,3.01
36,Jan '15,2.95
37,Feb '15,2.88
38,Mar '15,2.96
39,Apr '15,2.89
40,May '15,2.87
41,Jun '15,2.83
42,Jul '15,2.63
43,Aug '15,2.81
44,Sep '15,2.87
45,Oct '15,2.91
46,Nov '15,2.93
47,Dec '15,2.77
48,Jan '16,2.72
49,Feb '16,2.66
50,Mar '16,2.67
51,Apr '16,2.64
52,May '16,2.63
53,Jun '16,2.68
54,Jul '16,2.7
55,Aug '16,2.71
56,Sep '16,2.76
57,Oct '16,2.82
58,Nov '16,2.88
59,Dec '16,2.8
60,Jan '17,2.84
61,Feb '17,2.82
62,Mar '17,2.96
63,Apr '17,2.99
64,May '17,3.11
65,Jun '17,3.16
66,Jul '17,3.2
67,Aug '17,3.22
68,Sep '17,3.28
69,Oct '17,3.36
70,Nov '17,3.42
71,Dec '17,3.37
72,Jan '18,3.41
73,Feb '18,3.44
74,Mar '18,3.6
75,Apr '18,3.65
76,May '18,3.7
77,Jun '18,3.67
78,Jul '18,3.58
79,Aug '18,3.53
80,Sep '18,3.57
81,Oct '18,3.64
82,Nov '18,3.64
83,Dec '18,3.47
84,Jan '19,3.42
85,Feb '19,3.34
86,Mar '19,3.36
87,Apr '19,3.37
88,May '19,3.35
89,Jun '19,3.27
90,Jul '19,3.28
91,Aug '19,3.27
92,Sep '19,3.36
93,Oct '19,3.38
94,Nov '19,3.36
95,Dec '19,3.2
96,Jan '20,3.24
97,Feb '20,3.32
98,Apr '20,3.13
