,industry,GDP in million chained 2012 Canadian dollars
0,Public administration,639.7
1,Real estate and rental and leasing,403.0
2,Construction,348.5
3,Health care and social assistance,237.1
4,Retail trade,142.4
5,Educational services,142.1
6,Transportation and warehousing,103.6
7,Accommodation and food services,92.3
8,"Mining, quarrying, and oil and gas extraction",90.7
9,Information and cultural industries,87.4
10,"Professional, scientific and technical services",86.0
11,Finance and insurance,80.3
12,Utilities,49.8
13,Wholesale trade,43.8
14,Other services (except public administration),37.2
15,"Administrative and support, waste management and remediation services",32.0
16,Manufacturing,18.5
17,"Arts, entertainment and recreation",13.5
18,"Agriculture, forestry, fishing and hunting",5.3
19,Management of companies and enterprises,4.9
