,Response,Percentage of college graduates
0,Jan '16,13.7%
1,Feb '16,13.8%
2,Mar '16,13.9%
3,Apr '16,13.7%
4,May '16,13.6%
5,Jun '16,13.3%
6,Jul '16,13.1%
7,Aug '16,13.2%
8,Sep '16,13.2%
9,Oct '16,13.4%
10,Nov '16,13.4%
11,Dec '16,13.2%
12,Jan '17,13.1%
13,Feb '17,13.1%
14,Mar '17,13.1%
15,Apr '17,13.1%
16,May '17,12.9%
17,Jun '17,12.9%
18,Jul '17,12.8%
19,Aug '17,12.8%
20,Sep '17,12.6%
21,Oct '17,12.6%
22,Nov '17,12.7%
23,Dec '17,12.9%
24,Jan '18,13%
25,Feb '18,13.1%
26,Mar '18,13.3%
27,Apr '18,13.5%
28,May '18,13.8%
29,Jun '18,13.8%
30,Jul '18,13.7%
31,Aug '18,13.5%
32,Sep '18,13.2%
33,Oct '18,13%
34,Nov '18,12.7%
35,Dec '18,12.7%
36,Jan '19,12.6%
37,Feb '19,12.4%
38,Mar '19,12.2%
39,Apr '19,11.9%
40,May '19,11.6%
41,Jun '19,11.5%
42,Jul '19,11.6%
43,Aug '19,11.6%
44,Sep '19,11.8%
45,Oct '19,12.3%
46,Nov '19,12.6%
47,Dec '19,12.8%
48,Jan '20,12.9%
49,Feb '20,12.9%
50,Mar '20,12.8%
51,Apr '20,12.7%
52,May '20,12.6%
53,Jun '20,12.3%
54,Jul '20,12.2%
55,Aug '20,12.1%
56,Sep '20,11.9%
