,association football club,Value in million U.S. dollars
0,Clube de Regatas do Flamengo,142.9
1,Grêmio Foot-Ball Porto Alegrense,138.34
2,Sociedade Esportiva Palmeiras,135.03
3,São Paulo Futebol Clube,98.67
4,Sport Club Corinthians Paulista,93.31
5,Sport Club Internacional,73.76
6,Santos FC,72.39
7,Fluminense Football Club,66.8
8,Clube Atlético Mineiro,64.24
9,Cruzeiro Esporte Clube,57.06
10,Club de Regatas Vasco da Gama,53.18
11,Club Athletico Paranaense,45.77
12,Esporte Clube Bahia,35.51
13,Botafogo Rio de Janeiro,34.2
14,Associação Chapecoense de Futebol,29.07
15,Fortaleza Esporte Clube,27.36
16,Goiás Esporte Clube,25.28
17,Ceará Sporting Club,23.54
18,Centro Sportivo Alagoano (AL),21.55
19,Avaí Futebol Clube (SC),16.87
