,Response,Share of respondents
0,Vietnam,70%
1,Venezuela,67%
2,Chile,60%
3,Morocco,56%
4,Peru,54%
5,Argentina,50%
6,Pakistan,50%
7,China,47%
8,Colombia,46%
9,Taiwan,46%
10,Egypt,46%
11,Philippines,46%
12,India,43%
13,Ecuador,43%
14,Saudi Arabia,41%
15,Bahrain,40%
16,Poland,40%
17,Algeria,39%
18,Mexico,36%
19,United Arab Emirates,36%
20,Portugal,34%
21,Ukraine,34%
22,Thailand,32%
23,Russia,32%
24,Turkey,32%
25,Ireland,31%
26,Israel,31%
27,Greece,31%
28,Belgium,30%
29,Singapore,30%
30,Kenya,29%
31,Malaysia,29%
32,Netherlands,29%
33,Norway,29%
34,Italy,28%
35,South Africa,28%
36,Hongkong,27%
37,United Kingdom,27%
38,United States,26%
39,Switzerland,25%
40,Sweden,24%
41,Australia,21%
42,Denmark,19%
43,Canada,19%
44,South Korea,19%
45,Spain,14%
46,Indonesia,12%
47,Germany,11%
48,Japan,10%
49,Austria,8%
50,France,8%
