,Year,Gross domestic product in billion international dollars
0,2021*,343.84
1,2020*,321.2
2,2019,346.93
3,2018,333.78
4,2017,317.47
5,2016,301.05
6,2015,292.06
7,2014,283.97
8,2013,276.61
9,2012,274.38
10,2011,280.6
11,2010,279.6
12,2009,271.66
13,2008,278.29
14,2007,272.11
15,2006,258.51
16,2005,246.91
17,2004,237.59
18,2003,227.3
19,2002,225.25
20,2001,220.05
21,2000,211.22
22,1999,199.01
23,1998,188.8
24,1997,178.13
25,1996,167.73
26,1995,159.14
27,1994,152.35
28,1993,146.98
29,1992,144.57
30,1991,137.06
31,1990,128.25
32,1989,114.62
33,1988,103.42
34,1987,94.83
35,1986,85.98
36,1985,81.58
37,1984,77.8
