,Month,Index points
0,Jan 3,2.9
1,Jan 2,3.1
2,Jan 1,3.6
3,Dec 31,2.7
4,Dec 30,1.4
5,Dec 29,1.2
6,Dec 28,1.2
7,Dec 27,2.6
8,Dec 26,2.2
9,Dec 25,1.3
10,Dec 24,1.2
11,Dec 23,1.2
12,Dec 22,1.2
13,Dec 21,1.3
14,Dec 20,2.7
15,Dec 19,2.3
16,Dec 18,1.3
17,Dec 17,1.3
18,Dec 16,1.3
19,Dec 15,1.2
20,Dec 14,1.3
21,Dec 13,2.7
22,Dec 12,2.3
23,Dec 11,1.3
24,Dec 10,1.3
25,Dec 9,1.3
26,Dec 8,1.3
27,Dec 7,1.4
28,Dec 6,2.7
29,Dec 5,2.3
30,Dec 4,1.4
31,Dec 3,1.4
32,Dec 2,1.3
33,Dec 1,1.3
34,Nov 30,1.4
35,Nov 29,2.8
36,Nov 28,2.3
37,Nov 27,1.3
38,Nov 26,1.3
39,Nov 25,1.3
40,Nov 24,1.3
41,Nov 23,1.4
42,Nov 22,2.8
43,Nov 21,2.3
44,Nov 20,1.4
45,Nov 19,1.4
46,Nov 18,1.4
47,Nov 17,1.3
48,Nov 16,1.4
49,Nov 15,2.7
50,Nov 14,2.3
51,Nov 13,1.3
52,Nov 12,1.3
53,Nov 11,1.3
54,Nov 10,1.2
55,Nov 9,1.3
56,Nov 8,2.8
57,Nov 7,2.2
58,Nov 6,1.3
59,Nov 5,1.3
60,Nov 4,2.5
61,Nov 3,1.2
62,Nov 2,1.3
63,Nov 1,2.7
64,Oct 31,2.2
65,Oct 30,1.2
66,Oct 29,1.1
67,Oct 28,1.1
68,Oct 27,1.1
69,Oct 26,1.2
70,Oct 25,2.5
71,Oct 24,2.1
72,Oct 23,1.1
73,Oct 22,1.2
74,Oct 21,1.2
75,Oct 20,1.2
76,Oct 19,1.2
77,Oct 18,2.7
78,Oct 17,2.1
79,Oct 16,1.2
80,Oct 15,1.0
81,Oct 14,1.0
82,Oct 13,1.0
83,Oct 12,1.1
84,Oct 11,2.3
85,Oct 10,1.9
86,Oct 9,1.1
87,Oct 8,0.9
88,Oct 7,0.9
89,Oct 6,0.8
90,Oct 5,0.9
91,Oct 4,2.1
92,Oct 3,1.7
93,Oct 2,0.6
94,Oct 1,0.5
95,Sept 30,0.5
96,Sept 29,0.5
97,Sept 28,0.6
98,Sept 27,2.0
99,Sept 26,1.5
100,Sept 25,0.4
101,Sept 24,0.4
102,Sept 23,0.4
103,Sept 22,0.4
104,Sept 21,0.6
105,Sept 20,2.2
106,Sept 19,1.8
107,Sept 18,0.6
108,Sept 17,0.5
109,Sept 16,0.4
110,Sept 15,0.4
111,Sept 14,0.5
112,Sept 13,2.2
113,Sept 12,1.6
114,Sept 11,0.5
115,Sept 10,0.6
116,Sept 9,0.5
117,Sept 8,0.5
118,Sept 7,0.4
119,Sept 6,2.0
120,Sept 5,1.6
121,Sept 4,0.4
122,Sept 3,0.4
123,Sept 2,0.4
124,Sept 1,0.4
125,Aug 31,0.6
126,Aug 30,2.0
127,Aug 29,1.6
128,Aug 28,0.7
129,Aug 27,0.5
130,Aug 26,0.7
131,Aug 25,0.5
132,Aug 24,0.6
133,Aug 23,1.9
134,Aug 22,1.5
135,Aug 21,0.5
136,Aug 20,0.5
137,Aug 19,0.5
138,Aug 18,0.5
139,Aug 17,0.6
140,Aug 16,2.0
141,Aug 15,1.5
142,Aug 14,0.6
143,Aug 13,0.7
144,Aug 12,0.6
145,Aug 11,0.5
146,Aug 10,0.5
147,Aug 9,1.9
148,Aug 8,1.5
149,Aug 7,0.5
150,Aug 6,0.5
151,Aug 5,0.5
152,Aug 4,0.5
153,Aug 3,0.6
154,Aug 2,2.0
155,Aug 1,1.6
156,Jul 31,0.7
157,Jul 30,0.5
158,Jul 29,0.5
159,Jul 28,0.4
160,Jul 27,0.6
161,Jul 26,2.0
162,Jul 25,1.4
163,Jul 24,0.6
164,Jul 23,0.5
165,Jul 22,0.6
166,Jul 21,0.5
167,Jul 20,0.5
168,Jul 19,1.9
169,Jul 18,1.6
170,Jul 17,0.6
171,Jul 16,0.6
172,Jul 15,0.6
173,Jul 14,0.5
174,Jul 13,0.5
175,Jul 12,1.9
176,Jul 11,1.5
177,Jul 10,0.5
178,Jul 9,0.5
179,Jul 8,0.5
180,Jul 7,0.4
181,Jul 6,0.4
182,Jul 5,1.9
183,Jul 4,1.6
184,Jul 3,0.5
185,Jul 2,0.5
186,Jul 1,1.5
187,Jun 30,0.4
188,Jun 29,0.5
189,Jun 28,2.0
190,Jun 27,1.5
191,Jun 26,0.6
192,Jun 25,0.6
193,Jun 24,1.8
194,Jun 23,0.6
195,Jun 22,0.7
196,Jun 21,2.3
197,Jun 20,1.9
198,Jun 19,0.8
199,Jun 18,0.8
200,Jun 17,0.8
201,Jun 16,0.7
202,Jun 15,0.8
203,Jun 14,2.2
204,Jun 13,2.2
205,Jun 12,2.0
206,Jun 11,1.0
207,Jun 10,1.1
208,Jun 9,1.1
209,Jun 8,1.3
210,Jun 7,2.5
211,Jun 6,2.2
212,Jun 5,1.6
213,Jun 4,1.7
214,Jun 3,1.8
215,Jun 2,1.8
216,Jun 1,1.8
217,May 31,3.3
218,May 30,2.7
219,May 29,2.2
220,May 28,1.9
221,May 27,2.0
222,May 26,2.0
223,May 25,2.1
224,May 24,3.3
225,May 23,3.0
226,May 22,2.3
227,May 21,2.3
228,May 20,2.2
229,May 19,2.3
230,May 18,2.3
231,May 17,3.4
232,May 16,3.1
233,May 15,2.4
234,May 14,2.5
235,May 13,2.5
236,May 12,2.5
237,May 11,3.2
238,May 10,3.6
239,May 9,3.6
240,May 8,2.8
241,May 7,2.8
242,May 6,2.8
243,May 5,3.3
244,May 4,3.4
245,May 3,3.5
246,May 2,3.5
247,May 1,3.5
248,Apr 30,2.8
249,Apr 29,3.0
250,Apr 28,3.0
251,Apr 27,3.0
252,Apr 26,3.8
253,Apr 25,3.7
254,Apr 24,3.2
255,Apr 23,3.2
256,Apr 22,3.3
257,Apr 21,3.2
258,Apr 20,3.3
259,Apr 19,4.1
260,Apr 18,3.9
261,Apr 17,3.4
262,Apr 16,3.4
263,Apr 15,3.4
264,Apr 14,3.2
265,Apr 13,3.2
266,Apr 12,3.7
267,Apr 11,3.5
268,Apr 10,3.0
269,Apr 9,2.9
270,Apr 8,3.0
271,Apr 7,3.1
272,Apr 6,3.1
273,Apr 5,4.0
274,Apr 4,3.8
275,Apr 3,3.4
276,Apr 2,3.5
277,Apr 1,3.4
278,Mar 31,3.4
279,Mar 30,3.2
280,Mar 29,3.4
281,Mar 28,2.9
282,Mar 27,1.3
283,Mar 26,1.3
284,Mar 25,1.3
285,Mar 24,1.3
286,Mar 23,1.4
287,Mar 22,2.9
288,Mar 21,2.4
289,Mar 20,1.1
290,Mar 19,1.0
291,Mar 18,0.9
292,Mar 17,0.8
293,Mar 16,0.7
294,Mar 15,2.7
295,Mar 14,1.9
296,Mar 13,0.5
297,Mar 12,0.4
298,Mar 11,0.4
299,Mar 10,0.5
300,Mar 9,2.3
301,Mar 8,2.4
302,Mar 7,1.8
303,Mar 6,0.4
304,Mar 5,0.3
305,Mar 4,0.4
