,company,Number of patents
0,GW Pharmaceuticals (U.K.),40
1,Sanofi (France),38
2,GW Research (U.K.),8
3,Solvay Pharmaceuticals (Belgium),7
4,INSYS Therapeutics Inc. (U.S.),5
5,e-Therapetuics (U.K.),4
6,Pfizer (U.S.),4
7,Tetra Bio-Pharma (Canada),3
8,AstraZeneca (U.K.),2
9,PhytoTech Therapeutics (Australia),2
10,Portola Pharmaceuticals (U.S.),1
11,Par Pharmaceuticals (U.S.),1
12,Intron Biotechnology (China),1
13,TO Pharmaceuticals (Israel),1
14,GlaxoSmithKline (U.K.),1
15,Cannabics Pharmaceuticals (U.S.),1
