,Player,Market value in million euros
0,Calvin Stengs,12.0
1,Oussama Idrissi,10.0
2,Teun Koopmeiners,7.5
3,Myron Boadu,7.5
4,Marco Bizot,4.5
5,Jonas Svensson,4.5
6,Fredrik Midtsjö,4.0
7,Jordy Clasie,3.0
8,Thomas Ouwejan,3.0
9,Owen Wijndal,3.0
10,Albert Gudmundsson,2.5
11,Dani de Wit,2.0
12,Stijn Wuytens,1.5
13,Zakaria Aboukhlal,1.5
14,Ferdy Druijf,1.25
15,Yukinari Sugawara,1.0
16,Pantelis Chatzidiakos,0.8
17,Ron Vlaar,0.75
18,Rody de Boer,0.75
19,Jasper Schendelaar,0.75
20,Tijjani Reijnders,0.7
21,Kenzo Goudmijn,0.6
22,Fred Friday,0.35
23,Leon Bergsma,0.3
24,Joris Kramer,0.3
