,Occupation,Annual compensation in thousand U.S. dollars
0,Orthopedics,482
1,Plastic surgery,471
2,Otolaryngology,461
3,Cardiology,430
4,Dermatology,419
5,Radiology,419
6,Gastroenterology,417
7,Urology,408
8,Anesthesiology,392
9,Ophthalmology,366
10,General surgery,362
11,Oncology,359
12,Emergency medicine,353
13,Critical care,349
14,Pulmonology,331
15,Pathology,308
16,Physical medicine/rehabilitation,306
17,Nephrology,305
18,Obstetricians/gynecologists,303
19,Allergy/immunology,275
20,Neurology,267
21,Psychiatry,260
22,Rheumatology,259
23,Internal medicine,243
24,Infectious disease,239
25,Diabetes/endocrinology,236
26,Family medicine,231
27,Pediatrics,225
28,Public health/preventive medicine,209
