,Country,Average price in GBP
0,New York City,346.05
1,Copenhagen,326.44
2,Amsterdam,325.89
3,Venice,304.91
4,Los Angeles,295.06
5,Zurich,294.0
6,Dublin,290.05
7,Ibiza,289.84
8,London,265.6
9,Oslo,263.99
10,Caracus,260.35
11,Santa Cruz,258.59
12,Edinburgh,257.4
13,San Francisco,255.47
14,Marbella,253.71
15,Singapore,249.59
16,Barcelona,246.02
17,Honolulu,245.28
18,Paris,243.56
19,Stockholm,237.4
20,Punta Cana,228.0
21,Tokyo,223.27
22,Dubai,213.82
23,Palma de Mallorca,210.67
24,Las Vegas,209.83
25,Toronto,209.83
26,Nice,209.76
27,Sydney,209.22
28,Havana,204.2
29,Helsinki,199.77
