,NBA player,Number of assists
0,John Stockton,15806
1,Jason Kidd,12091
2,Steve Nash,10335
3,Mark Jackson,10334
4,Magic Johnson,10141
5,Oscar Robertson,9887
6,Chris Paul,9653
7,LeBron James,9346
8,Isiah Thomas,9061
9,Gary Payton,8966
10,Andre Miller,8524
11,Rod Strickland,7987
12,Maurice Cheeks,7392
13,Russell Westbrook,7298
14,Rajon Rondo,7215
15,Lenny Wilkens,7211
16,Terry Porter,7160
17,Tim Hardaway,7095
18,Tony Parker,7036
19,Bob Cousy,6955
20,Guy Rodgers,6917
21,Deron Williams,6819
22,Muggsy Bogues,6726
23,Kevin Johnson,6711
24,Derek Harper,6577
25,Nate Archibald,6476
26,Stephon Marbury,6471
27,John Lucas,6454
28,Reggie Theus,6453
29,Norm Nixon,6386
30,Kobe Bryant,6306
