,Month,Producer Price Index (2015=100)
0,Dec 2019,102.31
1,Nov 2019,102.7
2,Oct 2019,103.3
3,Sep 2019,102.78
4,Aug 2019,102.69
5,Jul 2019,104.32
6,Jun 2019,103.62
7,May 2019,104.74
8,Apr 2019,104.69
9,Mar 2019,103.99
10,Feb 2019,104.3
11,Jan 2019,104.29
12,Dec 2018,104.13
13,Nov 2018,105.19
14,Oct 2018,106.31
15,Sep 2018,106.27
16,Aug 2018,105.44
17,Jul 2018,105.02
18,Jun 2018,104.5
19,May 2018,103.52
20,Apr 2018,102.22
21,Mar 2018,101.52
22,Feb 2018,102.55
23,Jan 2018,102.55
24,Dec 2017,102.38
25,Nov 2017,102.18
26,Oct 2017,101.66
27,Sep 2017,100.88
28,Aug 2017,100.28
29,Jul 2017,100.34
30,Jun 2017,100.44
31,May 2017,100.45
32,Apr 2017,100.38
33,Mar 2017,100.29
34,Feb 2017,101.29
35,Jan 2017,102.52
36,Dec 2016,100.65
37,Nov 2016,99.07
38,Oct 2016,98.89
39,Sep 2016,97.43
40,Aug 2016,97.11
41,Jul 2016,97.37
42,Jun 2016,97.36
43,May 2016,95.44
44,Apr 2016,94.68
45,Mar 2016,94.82
46,Feb 2016,94.3
47,Jan 2016,95.33
48,Dec 2015,95.33
49,Nov 2015,98.49
50,Oct 2015,98.64
51,Sep 2015,99.39
52,Aug 2015,100.3
53,Jul 2015,102.07
54,Jun 2015,101.97
55,May 2015,101.05
56,Apr 2015,100.71
57,Mar 2015,100.24
58,Feb 2015,99.79
59,Jan 2015,99.55
60,Dec 2014,100.03
61,Nov 2014,101.1
62,Oct 2014,102.28
63,Sep 2014,103.12
64,Aug 2014,102.55
65,Jul 2014,103.44
66,Jun 2014,103.38
67,May 2014,102.51
68,Apr 2014,101.65
69,Mar 2014,101.52
70,Feb 2014,101.37
71,Jan 2014,102.4
