,Year,Protestant,Catholic,Christian (non-specific),Jewish,Mormon,Other specific,None,Undesignated
0,2019,35%,22%,10%,2%,1%,6%,21%,3%
1,2018,35%,22%,10%,2%,2%,5%,20%,4%
2,2017,38%,21%,9%,2%,2%,5%,20%,4%
3,2016,38%,22%,10%,3%,2%,5%,18%,2%
4,2015,38%,23%,9%,2%,2%,6%,17%,4%
5,2014,37%,23%,10%,2%,2%,6%,16%,4%
6,2013,38%,23%,10%,2%,2%,5%,15%,4%
7,2012,41%,23%,10%,2%,2%,4%,14%,3%
8,2011,42%,23%,10%,2%,2%,5%,13%,3%
9,2010,45%,21%,8%,2%,2%,4%,14%,4%
10,2005,49%,23%,7%,2%,2%,5%,10%,2%
11,2000,52%,25%,5%,2%,2%,5%,8%,2%
12,1995,56%,27%,-,2%,1%,5%,6%,2%
13,1990,56%,25%,-,2%,1%,5%,9%,2%
14,1985,57%,28%,-,2%,2%,3%,8%,1%
15,1980,61%,28%,-,2%,-,2%,7%,0%
16,1975,60%,27%,-,2%,-,4%,6%,1%
17,1970,65%,26%,-,3%,-,2%,3%,0%
18,1965,69%,24%,-,3%,-,2%,2%,0%
19,1960,67%,25%,-,3%,-,2%,2%,1%
20,1955,70%,22%,-,4%,-,2%,2%,1%
21,1950,66%,25%,-,4%,-,3%,-,2%
22,1948,69%,22%,-,4%,-,0%,2%,3%
