,Cause of death,Number of deaths
0,Neoplasms,46864
1,Diseases of the circulatory system,37433
2,Diseases of the respiratory system,12607
3,Mental and behavioural disorders,12725
4,Diseases of the nervous system,8775
5,External causes of injury and poisoning,8671
6,"Symptoms, signs and ill-defined conditions",7126
7,Diseases of the digestive system,4681
8,"Endocrine, nutritional and metabolic diseases",3523
9,Diseases of the genitourinary system,3338
10,Infectious and parasitic diseases,3296
11,Diseases of the musculoskeletal system and connective tissue,1089
12,Blood/bloodforming organs and immune mechanism diseases,564
13,Congenital anomalies,503
14,Conditions originating in the perinatal period,361
15,Diseases of the skin and subcutaneous tissue,320
16,"Complications of pregnancy, childbirth and the puerperium",9
