,Year,Wage in current U.S. dollars
0,2019,706
1,2018,680
2,2017,655
3,2016,624
4,2015,604
5,2014,594
6,2013,578
7,2012,568
8,2011,549
9,2010,535
10,2009,541
11,2008,529
12,2007,503
13,2006,486
14,2005,471
15,2004,456
16,2003,440
17,2002,424
18,2001,417
19,2000,399
20,1999,385
21,1998,370
22,1997,351
23,1996,339
24,1995,329
25,1994,324
26,1993,331
27,1992,321
28,1991,312
29,1990,304
30,1989,298
31,1988,290
32,1987,285
33,1986,277
34,1985,270
35,1984,259
36,1983,250
37,1982,240
38,1981,223
39,1980,209
40,1979,194
