,Cricket player,Number of runs scored
0,AJ Finch  (Australia vs Zimbabwe - 2018),172
1,Hazratullah Zazai  (Afghanistan vs Ireland - 2019)*,162
2,AJ Finch  (Australia vs England - 2013),156
3,GJ Maxwell  (Australia vs Sri Lanka - 2016)*,145
4,HG Munsey (Scotland vs Netherlands - 2019)*,127
5,E Lewis  (West Indies vs India - 2017)*,125
6,Shaheryar Butt (Belgium vs Czech Rep.- 2020),125
7,SR Watson  (Australia vs India - 2016)*,124
8,KJ O'Brien (Ireland vs Hong Kong - 2019),124
9,BB McCullum  (New Zealand vs Bangladesh - 2012),123
