,country,Population in thousands
0,Mexican,37186.36
1,Puerto Rican,5828.71
2,Cuban,2381.57
3,Salvadoran,2311.57
4,Dominican (Dominican Republic),2094.22
5,All other Hispanic or Latino,1852.85
6,Guatemalan,1683.09
7,Colombian,1237.61
8,Honduran,1083.54
9,Spaniard,843.7
10,Ecuadorian,706.25
11,Peruvian,668.51
12,Venezuelan,549.26
13,Spanish,476.49
14,Nicaraguan,429.5
15,Argentinean,303.2
16,Panamanian,194.06
17,Costa Rican,167.23
18,Chilean,154.92
19,Bolivian,132.62
20,Uruguayan,66.68
21,Other Central American,58.45
22,Paraguayan,27.57
23,Other South American,26.65
24,Spanish American,17.14
